GEOID10,obj
390490089001000,1.0
390490089001001,0.0
390490089001002,0.0
390490089001003,1.0
390490089001004,1.0
390490089001005,0.0
390490089001006,0.0
390490089001007,13.0
390490089001008,1.0
390490089001009,8.0
390490089001010,0.0
390490089001011,0.0
390490089001012,0.0
390490089001013,7.0
390490089001014,1.0
390490089001015,8.0
390490089001016,13.0
390490089002000,1.0
390490089002001,0.0
390490089002002,0.0
390490089002003,8.0
390490089002004,20.0
390490089002005,1.0
390490089002006,0.0
390490089002007,8.0
390490089002008,1.0
390490089002009,0.0
390490089003000,0.0
390490089003001,0.0
390490089003002,0.0
390490089003003,4.0
390490089003004,0.0
390490089003005,0.0
390490089003006,11.0
390490089003007,0.0
390490089003008,1.0
390490089004000,8.0
390490089004001,0.0
390490089004002,201.0
390490089004003,4.0
390490089004004,0.0
390490089004005,12.0
390490089004006,0.0
390490089004007,77.0
390490089004008,0.0
390490089004009,199.0
390490089004010,4.0
390490089004011,4.0
390490089004012,16.0
390490090001000,1.0
390490090001001,0.0
390490090001002,0.0
390490090001003,4.0
390490090001004,0.0
390490090001005,0.0
390490090001006,1.0
390490090001007,0.0
390490090001008,0.0
390490090001009,0.0
390490090001010,0.0
390490090001011,0.0
390490090001012,0.0
390490090001013,0.0
390490090001014,0.0
390490090001015,1.0
390490090001016,4.0
390490090001017,0.0
390490090001018,0.0
390490090001019,1.0
390490090002000,1.0
390490090002001,0.0
390490090002002,8.0
390490090002003,0.0
390490090002004,0.0
390490090002005,1.0
390490090002006,1.0
390490090002007,4.0
390490090002008,0.0
390490090002009,0.0
390490090002010,0.0
390490090002011,1.0
390490090002012,0.0
390490090002013,0.0
390490090002014,1.0
390490090002015,0.0
390490090002016,0.0
390490090002017,1.0
390490090002018,0.0
390490090002019,4.0
390490090002020,4.0
390490090002021,0.0
390490090002022,13.0
390490090002023,0.0
390490090002024,4.0
390490090002025,0.0
390490090002026,0.0
390490090002027,0.0
390490090002028,0.0
390490090002029,0.0
390490090002030,0.0
390490090002031,0.0
390490090002032,0.0
390490090003000,4.0
390490090003001,1.0
390490090003002,0.0
390490090003003,0.0
390490090003004,0.0
390490090003005,0.0
390490090003006,0.0
390490090003007,1.0
390490090003008,1.0
390490090003009,0.0
390490090003010,0.0
390490090003011,1.0
390490090003012,1.0
390490090003013,0.0
390490090003014,0.0
390490090003015,0.0
390490090003016,0.0
390490091001000,0.0
390490091001001,0.0
390490091001002,0.0
390490091001003,13.0
390490091001004,1.0
390490091001005,34.0
390490091001006,46.0
390490091001007,0.0
390490091001008,34.0
390490091001009,0.0
390490091001010,0.0
390490091001011,0.0
390490091001012,1.0
390490091001013,8.0
390490091001014,4.0
390490091001015,0.0
390490091001016,0.0
390490091001017,0.0
390490091001018,0.0
390490091001019,8.0
390490091002000,4.0
390490091002001,0.0
390490091002002,0.0
390490091002003,13.0
390490091002004,13.0
390490091002005,0.0
390490091002006,39.0
390490091003000,0.0
390490091003001,0.0
390490091003002,0.0
390490091003003,4.0
390490091003004,1.0
390490091003005,4.0
390490091003006,0.0
390490091003007,0.0
390490091003008,0.0
390490091003009,0.0
390490091003010,0.0
390490091003011,0.0
390490091003012,0.0
390490091003013,0.0
390490091003014,19.0
390490091003015,0.0
390490091003016,0.0
390490091003017,1.0
390490091004000,0.0
390490091004001,0.0
390490091004002,11.0
390490091004003,0.0
390490091004004,1.0
390490091004005,0.0
390490091004006,0.0
390490091004007,4.0
390490091004008,0.0
390490091004009,0.0
390490091004010,0.0
390490091004011,1.0
390490091004012,0.0
390490091004013,0.0
390490091004014,13.0
390490091004015,0.0
390490091004016,0.0
390490091004017,0.0
390490091004018,1.0
390490091004019,0.0
390490091005000,1.0
390490091005001,1.0
390490091005002,8.0
390490091005003,8.0
390490091005004,0.0
390490091005005,0.0
390490091005006,0.0
390490091005007,0.0
390490091005008,0.0
390490091005009,0.0
390490091005010,1.0
390490091005011,4.0
390490091005012,0.0
390490071201000,0.0
390490071201001,0.0
390490071201002,19.0
390490071201003,26.0
390490071201004,0.0
390490071201005,0.0
390490071201006,4.0
390490071201007,0.0
390490071201008,0.0
390490071201009,0.0
390490071201010,0.0
390490071201011,0.0
390490071201012,0.0
390490071201013,4.0
390490071201014,0.0
390490071201015,8.0
390490071201016,0.0
390490071201017,0.0
390490071201018,154.0
390490071201019,0.0
390490071201020,0.0
390490071201021,0.0
390490071201022,1.0
390490071201023,0.0
390490071202000,0.0
390490071202001,1.0
390490071202002,0.0
390490071202003,19.0
390490071202004,0.0
390490071202005,8.0
390490071202006,13.0
390490071202007,0.0
390490071202008,0.0
390490071202009,4.0
390490071202010,0.0
390490071202011,1.0
390490071202012,1.0
390490071202013,0.0
390490071202014,0.0
390490071202015,0.0
390490071202016,437.0
390490071202017,0.0
390490071202018,0.0
390490071202019,0.0
390490071202020,0.0
390490071203000,0.0
390490071203003,0.0
390490071203004,0.0
390490071203005,0.0
390490071203006,0.0
390490071203007,0.0
390490071203008,16.0
390490071203009,4.0
390490071203010,0.0
390490071203011,4.0
390490071203012,0.0
390490071203013,0.0
390490071203014,0.0
390490071203015,1.0
390490071203016,0.0
390490071203017,0.0
390490071203018,8.0
390490071203019,0.0
390490071203020,0.0
390490071203021,0.0
390490071203022,0.0
390490071203048,19.0
390490071203049,0.0
390490071203050,0.0
390490071991000,0.0
390490071991001,0.0
390490071991002,0.0
390490071993000,0.0
390490071993001,0.0
390490071121006,19.0
390490071122000,26.0
390490071122002,0.0
390490071122005,0.0
390490071122008,7.0
390490071122009,0.0
390490071122010,27.0
390490071122011,0.0
390490071122012,0.0
390490071122013,0.0
390490071122017,0.0
390490071122018,0.0
390490071122020,16.0
390490071122021,0.0
