PUMAID,SEX,RAC1P,AGEP,DIS,MSP,MIG,MIL,SCHL,FOD1P,HICOV,PRIVCOV,PUBCOV,PINCP,POVPIP,COW,ESR,SOCP,JWMNP,JWRIP,JWTRNS
3904103,2,1,48,2,1.0,1.0,4.0,21.0,6203.0,1,1,2,15000.0,501.0,1.0,1.0,132052,20.0,1.0,1.0
3904103,1,1,48,2,1.0,1.0,4.0,21.0,6207.0,1,1,2,155000.0,501.0,1.0,1.0,1191XX,15.0,1.0,1.0
3904103,1,1,18,2,6.0,1.0,4.0,14.0,,1,1,2,0.0,501.0,,6.0,,,,
3904103,1,1,16,2,6.0,1.0,,12.0,,1,1,2,0.0,501.0,,6.0,,,,
3904103,1,1,14,2,,1.0,,10.0,,1,1,2,,501.0,,,,,,
3904105,2,1,34,2,6.0,1.0,4.0,20.0,,1,1,2,27000.0,219.0,1.0,1.0,439061,20.0,1.0,1.0
3904105,1,1,37,1,6.0,1.0,4.0,19.0,,1,2,1,9720.0,78.0,1.0,1.0,533030,5.0,1.0,1.0
3904103,2,1,57,2,1.0,1.0,4.0,21.0,6107.0,1,1,2,77500.0,501.0,2.0,1.0,291141,35.0,1.0,1.0
3904103,1,1,55,2,1.0,1.0,4.0,16.0,,1,1,2,20000.0,501.0,6.0,1.0,472031,20.0,1.0,1.0
3904103,1,1,30,2,6.0,1.0,4.0,21.0,4101.0,1,1,2,40000.0,501.0,1.0,1.0,131022,10.0,1.0,1.0
3904109,2,1,67,1,1.0,1.0,2.0,21.0,3401.0,1,1,1,28000.0,501.0,1.0,6.0,119021,,,
3904109,2,1,69,1,1.0,1.0,4.0,14.0,,1,2,1,0.0,501.0,,6.0,,,,
3904109,1,1,34,2,2.0,1.0,4.0,21.0,6203.0,1,1,2,98000.0,501.0,1.0,1.0,1191XX,25.0,1.0,1.0
3904103,1,1,60,2,1.0,1.0,4.0,23.0,1901.0,1,1,2,84100.0,501.0,2.0,1.0,212011,8.0,1.0,1.0
3904103,2,1,58,2,1.0,1.0,4.0,22.0,2300.0,1,1,2,35100.0,501.0,3.0,1.0,252020,30.0,1.0,1.0
3904103,1,1,43,2,4.0,3.0,4.0,21.0,2300.0,1,1,2,53000.0,430.0,1.0,1.0,113051,20.0,1.0,1.0
3904111,2,1,22,2,6.0,1.0,4.0,19.0,,1,1,2,0.0,0.0,1.0,6.0,131161,,,
3904106,1,2,55,2,1.0,1.0,4.0,21.0,6200.0,1,1,2,45000.0,375.0,2.0,1.0,212011,30.0,1.0,1.0
3904106,2,2,53,2,1.0,1.0,4.0,22.0,1902.0,1,1,2,14400.0,375.0,2.0,1.0,439XXX,30.0,1.0,1.0
3904105,2,1,88,2,3.0,1.0,4.0,16.0,,1,2,1,18500.0,163.0,,6.0,,,,
3904102,2,1,41,2,6.0,1.0,4.0,21.0,5507.0,1,1,2,38200.0,234.0,2.0,1.0,211021,18.0,1.0,1.0
3904102,2,1,13,2,,1.0,,11.0,,1,1,2,,234.0,,,,,,
3904102,1,1,41,2,6.0,1.0,4.0,21.0,5404.0,1,1,2,44000.0,357.0,3.0,1.0,211023,25.0,1.0,1.0
3904103,1,1,68,2,1.0,1.0,4.0,22.0,3501.0,1,1,1,63400.0,501.0,3.0,6.0,411012,,,
3904103,2,1,68,2,1.0,1.0,4.0,21.0,6107.0,1,1,1,31430.0,501.0,3.0,6.0,291141,,,
3904104,2,1,26,2,6.0,1.0,4.0,21.0,1103.0,1,1,2,100.0,0.0,4.0,6.0,251000,,,
3904103,1,1,50,2,1.0,1.0,4.0,21.0,1904.0,1,1,2,40000.0,501.0,7.0,1.0,474051,15.0,1.0,1.0
3904103,2,1,53,2,1.0,1.0,4.0,21.0,1901.0,1,1,2,44600.0,501.0,2.0,1.0,291141,25.0,1.0,1.0
3904105,1,1,63,2,4.0,1.0,4.0,18.0,,1,1,2,95200.0,501.0,1.0,1.0,413091,20.0,1.0,1.0
3904105,1,1,31,2,6.0,1.0,4.0,19.0,,1,1,2,25000.0,501.0,1.0,1.0,393010,20.0,1.0,1.0
3904106,2,1,75,2,3.0,1.0,4.0,17.0,,1,1,1,35800.0,315.0,,6.0,,,,
3904101,1,1,59,2,1.0,1.0,4.0,21.0,2001.0,1,1,2,80000.0,501.0,1.0,1.0,131023,25.0,1.0,1.0
3904101,2,1,58,1,1.0,1.0,4.0,20.0,,1,1,2,25500.0,501.0,1.0,1.0,516050,30.0,1.0,1.0
3904107,1,2,58,2,4.0,1.0,4.0,17.0,,1,2,1,0.0,0.0,,6.0,,,,
3904107,1,2,55,1,4.0,1.0,4.0,17.0,,1,2,1,0.0,0.0,1.0,6.0,514033,,,
