PUMAID,RAC1P,RAC3P,AGEP,HISP,RELSHIPP,SEX
3904103,1,1,48,1,20,2
3904103,1,1,48,1,21,1
3904103,1,1,18,1,25,1
3904103,1,1,16,1,25,1
3904103,1,1,14,1,25,1
3904105,1,1,34,1,20,2
3904105,1,1,37,1,34,1
3904103,1,1,57,1,20,2
3904103,1,1,55,1,21,1
3904103,1,1,30,1,25,1
3904109,1,1,67,1,20,2
3904109,1,1,69,1,23,2
3904109,1,1,34,1,25,1
3904103,1,1,60,1,20,1
3904103,1,1,58,1,21,2
3904103,1,1,43,1,20,1
3904111,1,1,22,1,20,2
3904106,2,2,55,1,20,1
3904106,2,2,53,1,21,2
3904105,1,1,88,1,20,2
3904102,1,1,41,1,20,2
3904102,1,1,13,1,25,2
3904102,1,1,41,1,22,1
3904103,1,1,68,1,20,1
3904103,1,1,68,1,21,2
3904104,1,1,26,1,20,2
3904103,1,1,50,1,20,1
3904103,1,1,53,1,21,2
3904105,1,1,63,1,20,1
3904105,1,1,31,1,25,1
3904106,1,1,75,1,20,2
3904101,1,1,59,1,20,1
3904101,1,1,58,1,21,2
3904107,2,2,58,1,20,1
3904107,2,2,55,1,24,1
3904107,2,2,66,1,20,1
3904107,2,2,65,1,21,2
3904106,1,1,42,1,38,1
3904108,8,15,30,2,20,1
3904108,8,15,32,2,28,1
3904108,8,15,33,2,34,1
3904104,1,1,49,1,20,1
3904104,1,1,47,1,21,2
3904104,1,1,13,1,25,2
3904104,1,1,10,1,25,2
3904103,1,1,29,1,20,2
3904103,1,1,32,1,22,1
3904106,1,1,37,1,20,1
3904106,1,1,31,1,21,2
3904106,1,1,36,1,28,1
3904110,1,1,75,1,20,1
3904110,1,1,74,1,28,2
3904109,1,1,43,1,20,2
3904109,1,1,43,1,21,1
3904109,1,1,15,1,25,1
3904109,1,1,14,1,25,2
3904109,1,1,13,1,27,2
3904109,1,1,41,1,34,1
3904109,1,1,40,1,34,2
3904107,2,2,45,1,20,1
3904107,2,2,37,1,21,2
3904107,2,2,10,1,25,2
3904107,2,2,8,1,25,2
3904107,2,2,6,1,25,1
3904105,6,9,24,1,20,1
3904105,1,1,24,1,34,2
3904109,1,1,50,1,20,1
3904109,1,1,18,1,25,1
3904106,1,1,54,1,20,1
3904106,1,1,50,1,21,2
3904106,1,1,23,1,25,1
3904106,1,1,21,1,25,1
3904107,1,1,26,1,37,2
3904106,2,2,66,1,20,2
3904107,2,2,40,1,20,1
3904107,2,2,33,1,21,2
3904107,2,2,0,1,25,1
3904102,2,2,32,1,20,1
3904104,6,4,29,1,20,1
3904105,1,1,19,1,38,1
3904104,1,1,32,1,20,2
3904104,1,1,36,21,21,1
3904104,1,1,1,1,25,2
3904103,1,1,57,1,20,2
3904103,1,1,62,1,21,1
3904103,1,1,22,1,25,1
3904107,1,1,49,1,20,1
3904107,1,1,42,24,23,1
3904101,1,1,36,1,20,1
3904101,1,1,32,1,21,2
3904101,1,1,9,1,25,2
3904101,1,1,7,1,25,1
3904101,1,1,5,1,25,2
3904107,2,2,83,1,20,2
3904107,2,2,60,1,25,2
3904107,2,2,54,1,25,1
3904104,1,1,31,1,20,1
3904104,1,1,31,1,21,2
3904104,1,1,4,1,25,2
3904104,1,1,2,1,25,2
3904107,1,1,55,1,20,2
3904106,2,2,55,1,20,2
3904106,1,1,49,1,20,2
3904105,1,1,19,1,20,1
3904105,1,1,23,1,34,1
3904105,1,1,23,1,34,1
3904105,1,1,23,1,34,1
3904105,6,4,23,1,34,1
3904105,1,1,23,1,34,1
3904105,1,1,23,1,34,1
3904105,6,8,20,1,34,1
3904105,9,16,20,1,34,1
3904105,9,38,20,3,34,1
3904105,1,1,19,1,34,1
3904105,1,1,19,1,34,1
3904105,2,2,19,1,34,1
3904105,1,1,19,1,34,1
3904105,1,1,19,1,34,1
3904105,1,1,19,1,34,1
3904105,1,1,18,1,34,1
3904105,1,1,18,1,34,1
3904105,1,1,18,1,34,1
3904110,1,1,53,1,20,2
3904110,1,1,9,1,30,2
3904105,1,1,74,1,20,2
3904109,1,1,52,1,20,2
3904109,1,1,54,1,21,1
3904109,1,1,25,1,25,2
3904109,1,1,19,1,25,2
3904109,1,1,6,1,30,1
3904109,2,2,48,1,20,2
3904109,2,2,52,1,21,1
3904106,1,1,79,1,20,2
3904103,1,1,79,1,20,2
3904107,2,2,30,1,20,1
3904107,2,2,26,1,21,2
3904102,1,1,48,1,20,1
3904102,1,1,16,1,25,2
3904102,1,1,12,1,25,1
3904107,1,1,21,1,20,2
3904109,1,1,25,1,20,2
3904103,1,1,27,1,20,1
3904103,1,1,30,1,22,2
3904111,1,1,90,1,20,2
3904103,1,1,44,1,20,1
3904103,1,1,45,1,21,2
3904103,1,1,7,1,25,2
3904108,1,1,53,1,20,2
3904108,1,1,54,1,21,1
3904109,1,1,46,1,20,2
3904109,1,1,43,1,21,1
3904109,1,1,12,1,25,2
3904109,1,1,12,1,25,2
3904107,1,1,70,1,20,2
3904110,2,2,66,1,20,2
3904110,2,2,37,1,25,1
3904104,1,1,36,1,20,1
3904104,1,1,63,1,20,2
3904104,1,1,63,1,21,1
3904111,1,1,55,1,20,2
3904111,1,1,24,1,25,1
3904103,1,1,38,1,20,2
3904103,1,1,44,1,21,1
3904103,1,1,13,1,25,1
3904103,1,1,8,1,25,1
3904103,1,1,2,1,25,2
3904101,1,1,89,1,37,2
3904106,1,1,48,1,20,1
3904106,1,1,49,1,21,2
3904106,1,1,21,1,25,2
3904106,1,1,20,1,25,1
3904106,1,1,17,1,25,1
3904107,1,1,70,1,20,2
3904104,1,1,43,1,20,2
3904104,1,1,44,1,21,1
3904104,1,1,9,1,25,1
3904104,1,1,7,1,25,1
