BG,detail,va_race,race
390490001101,6,4,0
390490001102,3,3,0
390490001103,6,4,0
390490001104,3,3,1
390490001201,1,1,0
390490001202,3,2,1
390490001203,2,1,1
390490002101,4,4,0
390490002102,1,1,1
390490002103,3,3,1
390490002104,3,3,1
390490002201,3,3,1
390490002202,3,0,0
390490002203,2,2,1
390490002204,6,4,0
390490003101,6,4,1
390490003102,6,4,1
390490003103,2,1,0
390490003201,6,5,1
390490003202,5,4,0
390490003301,4,2,1
390490003302,8,4,1
390490003303,7,5,2
390490004101,5,3,0
390490004102,6,5,1
390490004201,5,4,0
390490004202,5,3,1
390490004203,6,3,1
390490004204,5,5,1
390490005001,6,4,1
390490005002,1,1,0
390490005003,4,3,1
390490005004,2,1,0
390490006001,5,3,1
390490006002,6,5,2
390490006003,0,0,0
390490006004,2,0,0
390490006005,6,5,1
390490007101,6,4,2
390490007102,2,2,0
390490007103,5,3,1
390490007104,2,1,1
390490007201,6,5,2
390490007202,3,2,1
390490007203,6,5,0
390490007301,8,3,0
390490007302,2,2,2
390490007303,5,2,0
390490007304,2,2,1
390490007305,3,2,2
390490008101,4,1,0
390490008102,2,2,0
390490008103,7,5,0
390490008201,7,4,2
390490008202,3,3,0
390490008203,4,2,2
390490008204,5,4,1
390490009101,4,4,2
390490009102,10,10,2
390490009103,7,6,2
390490009104,6,4,1
390490009201,9,8,1
390490009202,2,2,1
390490009203,6,5,1
390490010001,3,1,1
390490010002,5,3,0
390490010003,1,1,0
390490010004,3,1,1
390490010005,1,1,0
390490010006,3,1,1
390490011101,2,2,2
390490011102,2,0,0
390490011103,6,2,2
390490011211,1,0,0
390490011212,3,1,0
390490011213,4,2,0
390490011221,4,2,1
390490011222,3,0,0
390490012001,2,2,0
390490012002,4,4,2
390490012003,0,0,0
390490012004,3,2,1
390490012005,0,0,0
390490013001,3,2,0
390490013002,4,0,0
390490013003,4,2,1
390490013004,2,1,1
390490014001,3,3,0
390490014002,7,5,2
390490015001,6,4,1
390490015002,6,5,0
390490015003,3,2,0
390490016001,5,5,1
390490016002,9,3,0
390490017001,5,2,0
390490017002,7,6,0
390490017003,6,2,0
390490018101,2,1,0
390490018102,4,1,0
390490018103,2,0,0
390490018104,5,1,0
390490018105,4,3,1
390490018201,5,1,1
390490018202,2,2,2
390490018203,4,3,0
390490019011,3,2,0
390490019012,7,2,1
390490019021,6,3,0
390490019022,3,3,0
390490019023,2,0,0
390490019024,4,2,1
390490020001,6,5,1
390490020002,5,3,1
390490020003,8,6,1
390490021001,2,2,1
390490022001,6,6,1
390490023001,7,4,1
390490023002,4,2,1
390490025101,6,4,1
390490025102,5,4,0
390490025103,3,1,0
390490025201,1,1,0
390490025202,5,5,0
390490025203,8,5,2
390490026001,4,1,0
390490026002,0,0,0
390490026003,3,1,0
390490027101,3,2,0
390490027102,6,5,0
390490027301,7,4,1
390490027302,2,1,0
390490027401,0,0,0
390490027402,5,2,0
390490027403,5,4,1
390490027501,6,5,0
390490027502,10,7,1
390490027601,2,1,0
390490027602,2,1,1
390490027603,4,4,0
390490027701,5,4,2
390490027702,8,5,1
390490027801,1,1,0
390490027802,8,4,0
390490028001,2,2,1
390490028002,0,0,0
390490028003,5,3,1
390490028004,6,5,0
390490029001,1,1,1
390490029002,5,3,0
390490030001,5,0,0
390490030002,4,2,1
390490030003,11,2,0
390490032001,2,1,0
390490036001,10,5,0
390490036002,10,5,2
390490037001,5,3,1
390490037002,8,3,0
390490037003,3,3,0
390490037004,3,1,0
390490037005,6,5,1
390490038001,4,2,0
390490038002,5,5,1
390490040001,5,1,1
390490040002,5,2,0
390490042001,9,4,1
390490043001,3,3,1
390490043002,7,4,1
390490043003,4,2,0
390490043004,2,1,0
390490045001,6,3,0
390490045002,2,0,0
390490045003,6,3,0
390490045004,4,4,0
390490045005,5,2,0
390490046101,8,8,2
390490046102,5,3,1
390490046103,4,3,0
390490046104,7,4,0
390490046201,3,2,0
390490046202,3,1,0
390490046203,0,0,0
390490047001,3,2,0
390490047002,2,1,0
390490047003,3,3,1
390490047004,2,1,0
390490047005,4,2,0
390490047006,5,4,2
390490048101,3,1,0
390490048102,5,2,0
390490048103,2,1,0
390490048201,3,3,0
390490048202,2,1,1
390490048203,2,1,0
390490049001,5,4,0
390490049002,4,3,1
390490049003,2,1,0
390490049004,6,4,0
390490049005,3,2,0
390490049006,4,2,1
390490050001,5,3,0
390490050002,1,1,0
390490050003,6,5,1
390490050004,3,2,0
390490050005,4,2,0
390490050006,8,3,0
390490050007,5,2,0
390490051001,8,2,0
390490051002,4,2,1
390490052001,6,4,0
390490052002,2,2,1
390490053001,4,3,0
390490053002,6,3,0
390490053003,7,3,0
390490053004,4,4,1
390490054101,5,1,0
390490054201,2,2,1
390490054202,7,5,1
390490054203,0,0,0
390490055001,4,4,1
390490055002,9,8,3
390490055003,3,3,1
390490055004,3,3,2
390490055005,4,3,1
390490055006,6,5,1
390490055007,5,4,1
390490056101,7,3,0
390490056102,5,4,0
390490056201,4,2,1
390490056202,2,2,0
390490056203,5,3,1
390490056204,6,6,1
390490057001,3,0,0
390490057002,4,1,1
390490057003,3,3,0
390490058101,3,2,0
390490058102,3,3,1
390490058103,3,3,1
390490058201,10,5,0
390490058202,5,5,0
390490059001,6,4,0
390490059002,3,3,0
390490059003,6,5,1
390490059004,3,1,0
390490060001,5,2,1
390490060002,4,1,1
390490060003,5,5,2
390490061001,7,4,1
390490061002,4,2,0
390490061003,5,3,0
390490061004,3,2,0
390490062201,4,2,0
390490062202,1,1,1
390490062203,8,6,2
390490062204,5,4,1
390490062205,2,2,0
390490062301,7,4,1
390490062302,6,5,0
390490062303,6,3,0
390490062304,4,2,0
390490062361,4,2,0
390490062362,0,0,0
390490062363,5,3,0
390490063101,4,2,0
390490063102,3,3,1
390490063103,6,5,0
390490063104,5,3,1
390490063211,2,2,1
390490063212,3,3,1
390490063213,4,2,0
390490063214,3,1,0
390490063231,5,4,1
390490063232,4,1,1
390490063233,5,3,1
390490063301,1,1,0
390490063302,6,6,1
390490063303,3,3,0
390490063304,3,3,1
390490063305,5,5,1
390490063306,1,1,0
390490063401,3,3,2
390490063402,3,1,1
390490063511,2,0,0
390490063512,2,0,0
390490063513,3,3,1
390490063521,3,1,0
390490063522,1,1,1
390490063523,4,3,1
390490063531,3,2,0
390490063532,2,1,0
390490063533,4,1,0
390490063711,3,2,1
390490063712,4,3,2
390490063713,5,4,1
390490063714,4,4,0
390490063721,3,1,1
390490063722,7,5,0
390490063723,2,1,0
390490063831,6,5,0
390490063832,5,3,0
390490063833,2,1,0
390490063834,5,3,1
390490063835,3,3,0
390490063841,2,1,0
390490063842,6,6,2
390490063843,3,3,0
390490063844,2,2,0
390490063845,6,4,0
390490063861,7,6,1
390490063862,1,0,0
390490063863,5,3,2
390490063871,2,1,0
390490063872,4,1,0
390490063873,3,1,1
390490063874,2,1,0
390490063911,3,2,0
390490063912,5,4,1
390490063921,5,4,1
390490063922,4,4,0
390490063923,4,3,3
390490063931,8,3,0
390490063932,5,1,0
390490063933,4,3,0
390490063941,5,4,0
390490063942,5,3,0
390490063951,3,2,0
390490063952,8,4,0
390490063961,1,1,0
390490063962,3,3,2
390490063963,2,2,1
390490063964,6,4,0
390490064101,2,2,1
390490064102,5,3,0
390490064103,4,3,0
390490064301,5,5,1
390490064302,7,5,1
390490064303,4,3,0
390490064304,8,7,1
390490064305,4,3,0
390490065001,5,2,1
390490065002,4,4,1
390490065003,3,3,3
390490065004,3,3,0
390490066001,2,2,1
390490066002,6,6,2
390490066003,4,4,0
390490067101,2,1,0
390490067102,6,4,0
390490067211,2,2,1
390490067212,5,4,1
390490067213,4,3,1
390490067214,3,3,0
390490067221,4,3,1
390490067222,4,4,1
390490067223,6,5,0
390490068101,7,5,0
390490068102,4,4,0
390490068211,4,1,0
390490068212,6,4,0
390490068221,3,3,0
390490068222,1,0,0
390490069101,2,0,0
390490069102,6,4,2
390490069211,2,2,0
390490069212,1,1,0
390490069213,1,1,1
390490069214,4,3,0
390490069231,1,1,0
390490069232,2,2,0
390490069233,2,2,0
390490069234,6,6,1
390490069241,4,2,1
390490069242,4,1,0
390490069311,2,0,0
390490069312,1,0,0
390490069313,3,2,0
390490069314,2,2,1
390490069315,1,0,0
390490069316,5,5,0
390490069321,4,2,0
390490069322,4,3,1
390490069323,3,3,0
390490069324,5,2,1
390490069325,4,4,1
390490069326,6,2,1
390490069331,4,3,1
390490069332,3,2,0
390490069333,4,2,0
390490069334,3,3,1
390490069421,3,2,0
390490069431,4,2,0
390490069432,4,3,0
390490069433,3,2,0
390490069434,6,5,1
390490069441,1,1,0
390490069442,3,2,1
390490069443,7,4,0
390490069444,4,2,0
390490069451,5,3,0
390490069452,1,1,0
390490069453,9,6,0
390490069501,4,4,1
390490069502,5,3,1
390490069901,7,4,0
390490069902,2,2,0
390490069903,4,3,0
390490069904,6,4,0
390490069905,6,6,1
390490070101,1,1,0
390490070102,3,2,1
390490070103,4,0,0
390490070201,3,1,0
390490070202,3,2,0
390490070203,4,3,1
390490070204,3,3,0
390490070411,8,5,1
390490070431,4,4,1
390490070432,4,2,0
390490070441,7,5,0
390490070442,8,7,2
390490070443,4,3,0
390490070471,1,1,1
390490070472,9,4,0
390490070481,7,3,0
390490070482,9,6,1
390490071121,2,2,0
390490071122,3,2,0
390490071123,5,5,1
