BLK,detail,va_race,race
390490001101000,0,0,0
390490001101001,1,1,1
390490001101002,0,0,0
390490001101003,0,0,0
390490001101004,0,0,0
390490001101005,0,0,0
390490001101006,2,2,2
390490001101007,2,1,1
390490001101008,2,1,1
390490001101009,2,1,1
390490001101010,0,0,0
390490001101011,0,0,0
390490001101012,0,0,0
390490001101013,0,0,0
390490001101014,2,2,0
390490001101015,2,1,1
390490001101016,0,0,0
390490001101017,2,2,2
390490001101018,0,0,0
390490001102000,1,1,0
390490001102001,0,0,0
390490001102002,1,1,1
390490001102003,0,0,0
390490001102004,0,0,0
390490001102005,1,1,1
390490001102006,2,1,1
390490001102007,0,0,0
390490001102008,4,3,1
390490001103000,2,1,1
390490001103001,5,5,2
390490001103002,3,2,2
390490001103003,1,1,1
390490001103004,1,1,1
390490001103005,1,1,1
390490001103006,0,0,0
390490001103007,0,0,0
390490001103008,2,2,0
390490001103009,1,1,1
390490001103010,0,0,0
390490001103011,0,0,0
390490001104000,3,2,2
390490001104001,2,2,1
390490001104002,1,1,1
390490001104003,0,0,0
390490001104004,0,0,0
390490001104005,0,0,0
390490001104006,0,0,0
390490001104007,0,0,0
390490001104008,0,0,0
390490001104009,2,1,1
390490001104010,0,0,0
390490001104011,0,0,0
390490001104012,0,0,0
390490001104013,0,0,0
390490001104014,0,0,0
390490001104015,1,0,0
390490001104016,1,1,1
390490001104017,2,2,0
390490001201000,2,2,2
390490001201001,0,0,0
390490001201002,0,0,0
390490001201003,1,1,0
390490001201004,1,0,0
390490001201005,1,1,1
390490001201006,0,0,0
390490001201007,3,3,3
390490001201008,1,0,0
390490001201009,0,0,0
390490001201010,0,0,0
390490001201011,1,1,1
390490001201012,1,0,0
390490001202000,0,0,0
390490001202001,0,0,0
390490001202002,2,2,2
390490001202003,0,0,0
390490001202004,2,2,0
390490001202005,5,4,0
390490001202006,2,1,1
390490001202007,0,0,0
390490001202008,2,2,2
390490001202009,0,0,0
390490001202010,0,0,0
390490001202011,2,2,0
390490001202012,0,0,0
390490001202013,0,0,0
390490001202014,0,0,0
390490001202015,1,1,1
390490001202016,0,0,0
390490001202017,1,0,0
390490001202018,0,0,0
390490001202019,2,2,2
390490001202020,3,3,0
390490001202021,0,0,0
390490001202022,0,0,0
390490001202023,2,2,0
390490001202024,3,2,2
390490001202025,1,0,0
390490001202026,0,0,0
390490001203000,1,1,0
390490001203001,0,0,0
390490001203002,1,1,1
390490001203003,1,0,0
390490001203004,2,2,2
390490001203005,0,0,0
390490001203006,2,2,2
390490001203007,1,1,0
390490001203008,1,1,1
390490001203009,0,0,0
390490001203010,0,0,0
390490001203011,0,0,0
390490001203012,0,0,0
390490002101000,0,0,0
390490002101001,3,3,1
390490002101002,0,0,0
390490002101003,0,0,0
390490002101004,2,2,1
390490002101005,0,0,0
390490002101006,0,0,0
390490002101007,0,0,0
390490002101008,1,1,1
390490002101009,0,0,0
390490002101010,0,0,0
390490002101011,0,0,0
390490002101012,0,0,0
390490002101013,1,1,1
390490002101014,0,0,0
390490002101015,1,1,1
390490002101016,1,1,1
390490002101017,2,2,0
390490002101018,0,0,0
390490002101019,0,0,0
390490002101020,0,0,0
390490002102000,1,1,0
390490002102001,0,0,0
390490002102002,2,2,2
390490002102003,1,1,0
390490002102004,0,0,0
390490002102005,0,0,0
390490002103000,1,0,0
390490002103001,0,0,0
390490002103002,0,0,0
