TRACT,detail,va_race,race
39049000110,6,5,0
39049000120,5,3,1
39049000210,3,3,0
39049000220,7,5,0
39049000310,9,5,0
39049000320,6,4,0
39049000330,8,6,1
39049000410,7,3,1
39049000420,3,1,0
39049000500,5,2,0
39049000600,7,6,1
39049000710,5,4,0
39049000720,6,4,0
39049000730,5,4,0
39049000810,7,5,0
39049000820,6,5,0
39049000910,5,5,0
39049000920,9,7,1
39049001000,5,3,0
39049001110,5,2,0
39049001121,3,1,0
39049001122,6,1,0
39049001200,8,3,0
39049001300,3,2,0
39049001400,4,3,1
39049001500,3,2,0
39049001600,9,7,0
39049001700,10,6,0
39049001810,2,0,0
39049001820,9,5,1
39049001901,7,4,1
39049001902,7,4,0
39049002000,8,5,1
39049002100,2,2,1
39049002200,6,6,1
39049002300,7,5,1
39049002510,4,4,0
39049002520,8,8,1
39049002600,3,1,0
39049002710,4,3,0
39049002730,9,5,1
39049002740,8,5,1
39049002750,11,9,0
39049002760,4,4,0
39049002770,2,1,0
39049002780,6,4,0
39049002800,3,3,0
39049002900,2,0,0
39049003000,14,3,0
39049003200,2,1,0
39049003600,13,6,0
39049003700,8,4,0
39049003800,8,7,1
39049004000,6,2,1
39049004200,9,4,1
39049004300,9,5,0
39049004500,9,6,0
39049004610,9,6,1
39049004620,4,2,0
39049004700,3,3,0
39049004810,3,2,0
39049004820,5,5,1
39049004900,8,3,0
39049005000,6,3,0
39049005100,7,2,0
39049005200,6,5,0
39049005300,8,4,0
39049005410,5,1,0
39049005420,2,2,0
39049005500,4,4,0
39049005610,7,1,0
39049005620,8,6,0
39049005700,3,1,0
39049005810,4,3,2
39049005820,8,4,0
39049005900,7,6,0
39049006000,5,3,0
39049006100,8,2,0
39049006220,7,6,1
39049006230,8,7,0
39049006236,6,2,0
39049006310,2,2,0
39049006321,2,2,1
39049006323,8,7,0
39049006330,5,5,1
39049006340,2,0,0
39049006351,3,1,0
39049006352,4,2,0
39049006353,3,1,0
39049006371,6,3,0
39049006372,7,4,0
39049006383,7,6,0
39049006384,5,3,1
39049006386,7,6,1
39049006387,2,2,0
39049006391,7,4,1
39049006392,8,5,0
39049006393,4,2,0
39049006394,2,1,0
39049006395,3,0,0
39049006396,4,3,0
39049006410,6,4,1
39049006430,6,3,0
39049006500,4,3,0
39049006600,5,5,1
39049006710,5,5,0
39049006721,7,3,1
39049006722,6,6,1
39049006810,6,5,0
39049006821,6,3,0
39049006822,2,2,0
39049006910,3,1,1
39049006921,5,4,0
39049006923,6,4,0
39049006924,5,2,1
39049006931,6,3,0
39049006932,9,6,0
39049006933,4,3,0
39049006942,3,2,0
39049006943,11,5,0
39049006944,8,5,0
39049006945,12,5,0
39049006950,6,5,1
39049006990,12,8,1
39049007010,4,1,0
39049007020,7,5,0
39049007041,8,5,1
39049007043,3,3,1
39049007044,7,6,1
39049007047,6,4,0
39049007048,15,9,1
39049007112,5,5,0
39049007113,5,4,0
39049007114,5,4,0
39049007115,8,4,0
39049007120,3,2,0
39049007132,9,6,1
39049007193,4,2,0
39049007194,10,6,0
39049007198,3,3,0
39049007199,6,6,1
39049007201,1,1,1
39049007202,4,4,1
39049007203,7,7,0
39049007205,6,5,1
39049007207,7,3,0
39049007209,5,4,0
39049007210,8,5,0
39049007393,5,1,0
39049007394,3,0,0
39049007395,6,3,1
39049007396,8,4,0
39049007424,7,6,1
39049007425,10,7,0
39049007426,3,3,1
39049007427,4,3,0
39049007492,7,4,0
39049007494,2,1,0
39049007511,7,4,0
39049007512,6,4,0
39049007520,2,2,0
39049007531,3,2,0
39049007532,4,2,0
39049007533,4,3,0
39049007534,7,5,0
39049007550,7,5,0
39049007551,12,11,0
39049007710,4,1,0
39049007721,6,3,0
39049007722,8,5,0
39049007730,6,4,0
39049007740,7,3,0
39049007811,10,3,0
39049007812,4,2,1
39049007820,5,1,0
39049007830,6,5,1
39049007921,2,2,0
39049007922,7,5,0
39049007931,4,3,0
39049007933,8,6,0
39049007941,3,3,1
39049007951,7,6,0
39049007952,9,5,0
39049007953,4,3,0
39049007954,11,10,0
39049008000,3,2,0
39049008110,6,2,0
39049008120,8,4,0
39049008132,7,4,0
39049008141,10,3,0
39049008142,11,5,0
39049008161,6,3,0
39049008162,7,5,0
39049008163,4,3,1
39049008164,4,3,0
39049008210,4,1,0
39049008230,1,0,0
39049008241,3,3,0
39049008242,10,6,0
39049008311,5,3,0
39049008312,5,4,0
39049008321,3,3,1
39049008322,4,3,0
39049008330,4,3,1
39049008340,5,2,0
39049008350,6,6,0
39049008360,4,3,1
39049008370,3,2,1
39049008380,9,4,0
39049008400,1,1,0
39049008500,4,3,0
39049008710,3,2,0
39049008720,7,5,1
39049008730,5,2,1
39049008811,6,5,2
39049008812,5,3,0
39049008813,2,2,0
39049008821,7,5,0
39049008822,6,4,0
39049008825,3,2,1
39049008900,8,4,1
39049009000,5,5,2
39049009100,9,4,0
39049009210,4,3,0
39049009220,7,5,1
39049009230,11,6,0
39049009240,6,2,0
39049009250,7,7,1
39049009311,5,3,0
39049009312,4,3,0
39049009321,8,4,1
39049009322,9,5,1
39049009323,6,4,1
39049009325,6,4,0
39049009326,4,3,1
39049009331,3,2,0
39049009332,3,2,0
39049009333,8,5,0
39049009334,7,6,0
39049009336,4,2,0
39049009337,3,1,0
39049009340,10,7,0
39049009350,6,4,1
39049009361,4,2,1
39049009362,9,6,0
39049009371,1,0,0
39049009372,9,5,0
39049009373,4,4,0
39049009374,10,7,0
39049009381,6,4,0
39049009382,2,2,1
39049009383,5,1,0
39049009384,5,4,1
39049009385,4,3,0
39049009386,1,1,1
39049009390,6,4,0
39049009410,3,2,0
39049009420,2,2,0
39049009430,6,6,0
39049009440,4,3,0
39049009450,8,6,1
39049009495,5,4,1
39049009497,3,2,0
39049009520,4,3,0
39049009590,9,8,1
39049009600,7,3,0
39049009711,0,0,0
39049009712,2,2,0
39049009720,6,4,0
39049009740,9,5,0
39049009751,8,1,0
39049009752,6,4,0
39049009800,7,6,1
39049009900,3,2,1
39049010000,5,3,0
39049010100,2,1,0
39049010200,8,3,1
39049010300,2,2,0
39049010400,8,3,0
39049010500,6,4,1
39049010601,7,6,0
39049010602,7,4,0
39049010700,4,3,1
39049980000,0,0,0
