BG,detail,va_race,race
390599771001,2,2,2
390599771002,2,1,1
390599771003,5,4,1
390599771004,5,5,1
390599772001,5,4,0
390599772002,4,3,1
390599772003,2,2,2
390599772004,5,4,0
390599773001,3,3,1
390599773002,7,7,1
390599773003,4,1,0
390599774001,5,3,0
390599774002,6,4,1
390599774003,3,3,1
390599775001,1,1,1
390599775002,3,3,1
390599775003,9,5,1
390599775004,5,3,0
390599776001,5,0,0
390599776002,3,1,1
390599776003,2,2,1
390599777001,4,4,1
390599777002,5,2,1
390599777003,1,0,0
390599778001,3,1,1
390599778002,5,5,0
390599778003,6,6,3
390599779001,4,4,1
390599779002,6,4,1
390599779003,1,1,1
390599779004,3,3,3
390599780001,5,3,1
390599780002,4,4,0
390599780003,7,6,0
390599780004,4,3,2
