plb	county	qid	aggregation.level	mae
0.01	Franklin	1	blk	0.042
0.01	Franklin	1	bg	0.222
0.01	Franklin	1	tr	0.380
0.01	Franklin	2	blk	0.661
0.01	Franklin	2	bg	3.034
0.01	Franklin	2	tr	4.654
0.01	Franklin	3	blk	11.201
0.01	Franklin	3	bg	38.208
0.01	Franklin	3	tr	55.357
0.1	Franklin	1	blk	0.037
0.1	Franklin	1	bg	0.108
0.1	Franklin	1	tr	0.182
0.1	Franklin	2	blk	0.586
0.1	Franklin	2	bg	1.374
0.1	Franklin	2	tr	2.119
0.1	Franklin	3	blk	9.789
0.1	Franklin	3	bg	17.265
0.1	Franklin	3	tr	25.297
1.6	Franklin	1	blk	0.033
1.6	Franklin	1	bg	0.042
1.6	Franklin	1	tr	0.068
1.6	Franklin	2	blk	0.514
1.6	Franklin	2	bg	0.525
1.6	Franklin	2	tr	0.786
1.6	Franklin	3	blk	8.763
1.6	Franklin	3	bg	6.237
1.6	Franklin	3	tr	8.552
10	Franklin	1	blk	0.031
10	Franklin	1	bg	0.022
10	Franklin	1	tr	0.034
10	Franklin	2	blk	0.489
10	Franklin	2	bg	0.269
10	Franklin	2	tr	0.397
10	Franklin	3	blk	8.507
10	Franklin	3	bg	3.071
10	Franklin	3	tr	3.950
100	Franklin	1	blk	0.030
100	Franklin	1	bg	0.008
100	Franklin	1	tr	0.012
100	Franklin	2	blk	0.478
100	Franklin	2	bg	0.106
100	Franklin	2	tr	0.153
100	Franklin	3	blk	8.431
100	Franklin	3	bg	1.153
100	Franklin	3	tr	1.367
0.01	Guernsey	1	blk	0.010
0.01	Guernsey	1	bg	0.142
0.01	Guernsey	1	tr	0.216
0.01	Guernsey	2	blk	0.154
0.01	Guernsey	2	bg	2.004
0.01	Guernsey	2	tr	3.070
0.01	Guernsey	3	blk	2.674
0.01	Guernsey	3	bg	20.922
0.01	Guernsey	3	tr	43.543
0.1	Guernsey	1	blk	0.009
0.1	Guernsey	1	bg	0.064
0.1	Guernsey	1	tr	0.126
0.1	Guernsey	2	blk	0.146
0.1	Guernsey	2	bg	0.883
0.1	Guernsey	2	tr	1.498
0.1	Guernsey	3	blk	2.520
0.1	Guernsey	3	bg	10.898
0.1	Guernsey	3	tr	18.314
1.6	Guernsey	1	blk	0.008
1.6	Guernsey	1	bg	0.028
1.6	Guernsey	1	tr	0.055
1.6	Guernsey	2	blk	0.131
1.6	Guernsey	2	bg	0.343
1.6	Guernsey	2	tr	0.629
1.6	Guernsey	3	blk	2.212
1.6	Guernsey	3	bg	3.788
1.6	Guernsey	3	tr	6.514
10	Guernsey	1	blk	0.008
10	Guernsey	1	bg	0.018
10	Guernsey	1	tr	0.037
10	Guernsey	2	blk	0.124
10	Guernsey	2	bg	0.192
10	Guernsey	2	tr	0.386
10	Guernsey	3	blk	2.120
10	Guernsey	3	bg	2.253
10	Guernsey	3	tr	4.029
100	Guernsey	1	blk	0.007
100	Guernsey	1	bg	0.007
100	Guernsey	1	tr	0.013
100	Guernsey	2	blk	0.118
100	Guernsey	2	bg	0.093
100	Guernsey	2	tr	0.163
100	Guernsey	3	blk	2.076
100	Guernsey	3	bg	0.939
100	Guernsey	3	tr	1.429
