plb,county,aggregation.level,risk.value
0.01,Franklin,blk,0.084
0.01,Franklin,bg,0.703
0.01,Franklin,tr,0.825
0.1,Franklin,blk,0.141
0.1,Franklin,bg,0.843
0.1,Franklin,tr,0.912
1.6,Franklin,blk,0.203
1.6,Franklin,bg,0.936
1.6,Franklin,tr,0.966
10,Franklin,blk,0.227
10,Franklin,bg,0.966
10,Franklin,tr,0.983
100,Franklin,blk,0.238
100,Franklin,bg,0.987
100,Franklin,tr,0.994
0.01,Guernsey,blk,0.039
0.01,Guernsey,bg,0.776
0.01,Guernsey,tr,0.896
0.1,Guernsey,blk,0.063
0.1,Guernsey,bg,0.892
0.1,Guernsey,tr,0.938
1.6,Guernsey,blk,0.117
1.6,Guernsey,bg,0.952
1.6,Guernsey,tr,0.972
10,Guernsey,blk,0.145
10,Guernsey,bg,0.969
10,Guernsey,tr,0.981
100,Guernsey,blk,0.165
100,Guernsey,bg,0.988
100,Guernsey,tr,0.993
