plb,risk.type,county,qid,aggregation.level,risk.value
0.01,tpr,Franklin,1,blk,0.001
0.01,tpr,Franklin,1,bg,0.001
0.01,tpr,Franklin,1,tr,0.000
0.01,tpr,Franklin,2,blk,0.001
0.01,tpr,Franklin,2,bg,0.001
0.01,tpr,Franklin,2,tr,0.000
0.01,tpr,Franklin,3,blk,0.002
0.01,tpr,Franklin,3,bg,0.000
0.01,tpr,Franklin,3,tr,0.000
0.1,tpr,Franklin,1,blk,0.002
0.1,tpr,Franklin,1,bg,0.005
0.1,tpr,Franklin,1,tr,0.004
0.1,tpr,Franklin,2,blk,0.003
0.1,tpr,Franklin,2,bg,0.004
0.1,tpr,Franklin,2,tr,0.005
0.1,tpr,Franklin,3,blk,0.003
0.1,tpr,Franklin,3,bg,0.012
0.1,tpr,Franklin,3,tr,0.012
1.6,tpr,Franklin,1,blk,0.010
1.6,tpr,Franklin,1,bg,0.033
1.6,tpr,Franklin,1,tr,0.030
1.6,tpr,Franklin,2,blk,0.012
1.6,tpr,Franklin,2,bg,0.026
1.6,tpr,Franklin,2,tr,0.030
1.6,tpr,Franklin,3,blk,0.019
1.6,tpr,Franklin,3,bg,0.039
1.6,tpr,Franklin,3,tr,0.072
10,tpr,Franklin,1,blk,0.021
10,tpr,Franklin,1,bg,0.106
10,tpr,Franklin,1,tr,0.097
10,tpr,Franklin,2,blk,0.025
10,tpr,Franklin,2,bg,0.101
10,tpr,Franklin,2,tr,0.094
10,tpr,Franklin,3,blk,0.038
10,tpr,Franklin,3,bg,0.153
10,tpr,Franklin,3,tr,0.157
100,tpr,Franklin,1,blk,0.051
100,tpr,Franklin,1,bg,0.328
100,tpr,Franklin,1,tr,0.316
100,tpr,Franklin,2,blk,0.053
100,tpr,Franklin,2,bg,0.306
100,tpr,Franklin,2,tr,0.303
100,tpr,Franklin,3,blk,0.070
100,tpr,Franklin,3,bg,0.329
100,tpr,Franklin,3,tr,0.253
0.01,tpr,Guernsey,1,blk,0
0.01,tpr,Guernsey,1,bg,0.007
0.01,tpr,Guernsey,1,tr,0
0.01,tpr,Guernsey,2,blk,0
0.01,tpr,Guernsey,2,bg,0
0.01,tpr,Guernsey,2,tr,0
0.01,tpr,Guernsey,3,blk,0.002
0.01,tpr,Guernsey,3,bg,0
0.01,tpr,Guernsey,3,tr,0
0.1,tpr,Guernsey,1,blk,0.002
0.1,tpr,Guernsey,1,bg,0
0.1,tpr,Guernsey,1,tr,0
0.1,tpr,Guernsey,2,blk,0.003
0.1,tpr,Guernsey,2,bg,0
0.1,tpr,Guernsey,2,tr,0
0.1,tpr,Guernsey,3,blk,0.002
0.1,tpr,Guernsey,3,bg,0
0.1,tpr,Guernsey,3,tr,0
1.6,tpr,Guernsey,1,blk,0.006
1.6,tpr,Guernsey,1,bg,0.035
1.6,tpr,Guernsey,1,tr,0.016
1.6,tpr,Guernsey,2,blk,0.007
1.6,tpr,Guernsey,2,bg,0.047
1.6,tpr,Guernsey,2,tr,0.024
1.6,tpr,Guernsey,3,blk,0.007
1.6,tpr,Guernsey,3,bg,0.063
1.6,tpr,Guernsey,3,tr,0
10,tpr,Guernsey,1,blk,0.025
10,tpr,Guernsey,1,bg,0.09
10,tpr,Guernsey,1,tr,0.129
10,tpr,Guernsey,2,blk,0.023
10,tpr,Guernsey,2,bg,0.131
10,tpr,Guernsey,2,tr,0.19
10,tpr,Guernsey,3,blk,0.015
10,tpr,Guernsey,3,bg,0.156
10,tpr,Guernsey,3,tr,0
100,tpr,Guernsey,1,blk,0.039
100,tpr,Guernsey,1,bg,0.299
100,tpr,Guernsey,1,tr,0.226
100,tpr,Guernsey,2,blk,0.046
100,tpr,Guernsey,2,bg,0.327
100,tpr,Guernsey,2,tr,0.143
100,tpr,Guernsey,3,blk,0.04
100,tpr,Guernsey,3,bg,0.563
100,tpr,Guernsey,3,tr,0
