plb,risk.type,county,qid,aggregation.level,risk.value
0.01,tpr,Franklin,1,blk,0.01
0.01,tpr,Franklin,1,bg,0.01
0.01,tpr,Franklin,1,tr,0.01
0.01,tpr,Franklin,2,blk,0.003
0.01,tpr,Franklin,2,bg,0.003
0.01,tpr,Franklin,2,tr,0.003
0.01,tpr,Franklin,3,blk,0.002
0.01,tpr,Franklin,3,bg,0.002
0.01,tpr,Franklin,3,tr,0.002
0.1,tpr,Franklin,1,blk,0.032
0.1,tpr,Franklin,1,bg,0.032
0.1,tpr,Franklin,1,tr,0.032
0.1,tpr,Franklin,2,blk,0.009
0.1,tpr,Franklin,2,bg,0.009
0.1,tpr,Franklin,2,tr,0.009
0.1,tpr,Franklin,3,blk,0.007
0.1,tpr,Franklin,3,bg,0.007
0.1,tpr,Franklin,3,tr,0.007
1.6,tpr,Franklin,1,blk,0.127
1.6,tpr,Franklin,1,bg,0.127
1.6,tpr,Franklin,1,tr,0.127
1.6,tpr,Franklin,2,blk,0.036
1.6,tpr,Franklin,2,bg,0.036
1.6,tpr,Franklin,2,tr,0.036
1.6,tpr,Franklin,3,blk,0.026
1.6,tpr,Franklin,3,bg,0.026
1.6,tpr,Franklin,3,tr,0.026
10,tpr,Franklin,1,blk,0.31
10,tpr,Franklin,1,bg,0.31
10,tpr,Franklin,1,tr,0.31
10,tpr,Franklin,2,blk,0.09
10,tpr,Franklin,2,bg,0.09
10,tpr,Franklin,2,tr,0.09
10,tpr,Franklin,3,blk,0.066
10,tpr,Franklin,3,bg,0.066
10,tpr,Franklin,3,tr,0.066
100,tpr,Franklin,1,blk,0.794
100,tpr,Franklin,1,bg,0.794
100,tpr,Franklin,1,tr,0.794
100,tpr,Franklin,2,blk,0.279
100,tpr,Franklin,2,bg,0.279
100,tpr,Franklin,2,tr,0.279
100,tpr,Franklin,3,blk,0.206
100,tpr,Franklin,3,bg,0.206
100,tpr,Franklin,3,tr,0.206
0.01,tpr,Guernsey,1,blk,0.01
0.01,tpr,Guernsey,1,bg,0.01
0.01,tpr,Guernsey,1,tr,0.01
0.01,tpr,Guernsey,2,blk,0.003
0.01,tpr,Guernsey,2,bg,0.003
0.01,tpr,Guernsey,2,tr,0.003
0.01,tpr,Guernsey,3,blk,0.002
0.01,tpr,Guernsey,3,bg,0.002
0.01,tpr,Guernsey,3,tr,0.002
0.1,tpr,Guernsey,1,blk,0.032
0.1,tpr,Guernsey,1,bg,0.032
0.1,tpr,Guernsey,1,tr,0.032
0.1,tpr,Guernsey,2,blk,0.009
0.1,tpr,Guernsey,2,bg,0.009
0.1,tpr,Guernsey,2,tr,0.009
0.1,tpr,Guernsey,3,blk,0.007
0.1,tpr,Guernsey,3,bg,0.007
0.1,tpr,Guernsey,3,tr,0.007
1.6,tpr,Guernsey,1,blk,0.127
1.6,tpr,Guernsey,1,bg,0.127
1.6,tpr,Guernsey,1,tr,0.127
1.6,tpr,Guernsey,2,blk,0.036
1.6,tpr,Guernsey,2,bg,0.036
1.6,tpr,Guernsey,2,tr,0.036
1.6,tpr,Guernsey,3,blk,0.026
1.6,tpr,Guernsey,3,bg,0.026
1.6,tpr,Guernsey,3,tr,0.026
10,tpr,Guernsey,1,blk,0.31
10,tpr,Guernsey,1,bg,0.31
10,tpr,Guernsey,1,tr,0.31
10,tpr,Guernsey,2,blk,0.09
10,tpr,Guernsey,2,bg,0.09
10,tpr,Guernsey,2,tr,0.09
10,tpr,Guernsey,3,blk,0.066
10,tpr,Guernsey,3,bg,0.066
10,tpr,Guernsey,3,tr,0.066
100,tpr,Guernsey,1,blk,0.794
100,tpr,Guernsey,1,bg,0.794
100,tpr,Guernsey,1,tr,0.794
100,tpr,Guernsey,2,blk,0.279
100,tpr,Guernsey,2,bg,0.279
100,tpr,Guernsey,2,tr,0.279
100,tpr,Guernsey,3,blk,0.206
100,tpr,Guernsey,3,bg,0.206
100,tpr,Guernsey,3,tr,0.206
0.01,ppv,Franklin,1,blk,0
0.01,ppv,Franklin,1,bg,0.002
0.01,ppv,Franklin,1,tr,0.003
0.01,ppv,Franklin,2,blk,0.005
0.01,ppv,Franklin,2,bg,0.022
0.01,ppv,Franklin,2,tr,0.03
0.01,ppv,Franklin,3,blk,0.044
0.01,ppv,Franklin,3,bg,0.099
0.01,ppv,Franklin,3,tr,0.083
0.1,ppv,Franklin,1,blk,0
0.1,ppv,Franklin,1,bg,0.002
0.1,ppv,Franklin,1,tr,0.003
0.1,ppv,Franklin,2,blk,0.005
0.1,ppv,Franklin,2,bg,0.023
0.1,ppv,Franklin,2,tr,0.031
0.1,ppv,Franklin,3,blk,0.045
0.1,ppv,Franklin,3,bg,0.126
0.1,ppv,Franklin,3,tr,0.129
1.6,ppv,Franklin,1,blk,0.000
1.6,ppv,Franklin,1,bg,0.002
1.6,ppv,Franklin,1,tr,0.003
1.6,ppv,Franklin,2,blk,0.005
1.6,ppv,Franklin,2,bg,0.024
1.6,ppv,Franklin,2,tr,0.033
1.6,ppv,Franklin,3,blk,0.048
1.6,ppv,Franklin,3,bg,0.200
1.6,ppv,Franklin,3,tr,0.244
10,ppv,Franklin,1,blk,0
10,ppv,Franklin,1,bg,0.003
10,ppv,Franklin,1,tr,0.004
10,ppv,Franklin,2,blk,0.005
10,ppv,Franklin,2,bg,0.032
10,ppv,Franklin,2,tr,0.044
10,ppv,Franklin,3,blk,0.051
10,ppv,Franklin,3,bg,0.308
10,ppv,Franklin,3,tr,0.367
100,ppv,Franklin,1,blk,0.009
100,ppv,Franklin,1,bg,0.066
