plb,county,qid,aggregation.level,pct
0.01,Franklin,1,blk,0
0.01,Franklin,1,bg,0
0.01,Franklin,1,tr,0
0.01,Franklin,2,blk,0
0.01,Franklin,2,bg,0
0.01,Franklin,2,tr,0
0.01,Franklin,3,blk,0
0.01,Franklin,3,bg,0
0.01,Franklin,3,tr,0
0.1,Franklin,1,blk,0
0.1,Franklin,1,bg,0.1
0.1,Franklin,1,tr,0.1
0.1,Franklin,2,blk,0.1
0.1,Franklin,2,bg,0.1
0.1,Franklin,2,tr,0.1
0.1,Franklin,3,blk,0.1
0.1,Franklin,3,bg,0.1
0.1,Franklin,3,tr,0.1
1,Franklin,1,blk,0.2
1,Franklin,1,bg,0.8
1,Franklin,1,tr,0.7
1,Franklin,2,blk,0.2
1,Franklin,2,bg,0.6
1,Franklin,2,tr,0.6
1,Franklin,3,blk,0.3
1,Franklin,3,bg,0.3
1,Franklin,3,tr,0.3
10,Franklin,1,blk,0.5
10,Franklin,1,bg,2.5
10,Franklin,1,tr,2.1
10,Franklin,2,blk,0.5
10,Franklin,2,bg,2.2
10,Franklin,2,tr,2
10,Franklin,3,blk,0.7
10,Franklin,3,bg,1.2
10,Franklin,3,tr,0.7
100,Franklin,1,blk,1.2
100,Franklin,1,bg,7.9
100,Franklin,1,tr,7
100,Franklin,2,blk,1.1
100,Franklin,2,bg,6.6
100,Franklin,2,tr,6.3
100,Franklin,3,blk,1.2
100,Franklin,3,bg,2.6
100,Franklin,3,tr,1.1
0.01,Guernsey,1,blk,0
0.01,Guernsey,1,bg,0.2
0.01,Guernsey,1,tr,0
0.01,Guernsey,2,blk,0
0.01,Guernsey,2,bg,0
0.01,Guernsey,2,tr,0
0.01,Guernsey,3,blk,0
0.01,Guernsey,3,bg,0
0.01,Guernsey,3,tr,0
0.1,Guernsey,1,blk,0
0.1,Guernsey,1,bg,0
0.1,Guernsey,1,tr,0
0.1,Guernsey,2,blk,0
0.1,Guernsey,2,bg,0
0.1,Guernsey,2,tr,0
0.1,Guernsey,3,blk,0
0.1,Guernsey,3,bg,0
0.1,Guernsey,3,tr,0
1,Guernsey,1,blk,0.1
1,Guernsey,1,bg,1.1
1,Guernsey,1,tr,0.4
1,Guernsey,2,blk,0.1
1,Guernsey,2,bg,1.4
1,Guernsey,2,tr,0.6
1,Guernsey,3,blk,0.1
1,Guernsey,3,bg,1
1,Guernsey,3,tr,0
10,Guernsey,1,blk,0.5
10,Guernsey,1,bg,2.9
10,Guernsey,1,tr,3.6
10,Guernsey,2,blk,0.4
10,Guernsey,2,bg,4
10,Guernsey,2,tr,5
10,Guernsey,3,blk,0.2
10,Guernsey,3,bg,2.6
10,Guernsey,3,tr,0
100,Guernsey,1,blk,0.7
100,Guernsey,1,bg,9.6
100,Guernsey,1,tr,6.3
100,Guernsey,2,blk,0.8
100,Guernsey,2,bg,9.9
100,Guernsey,2,tr,3.7
100,Guernsey,3,blk,0.6
100,Guernsey,3,bg,9.2
100,Guernsey,3,tr,0
