GEOID10,H72003_dp,H72004_dp,H72005_dp,H72006_dp,H72007_dp,H72008_dp,H72009_dp,H72003_sf,H72004_sf,H72005_sf,H72006_sf,H72007_sf,H72008_sf,H72009_sf
390490001101,1025,23,0,7,0,4,15,1040,14,0,8,0,3,15
390490001102,828,3,1,13,1,5,5,814,15,0,18,0,3,7
390490001103,623,7,0,9,1,2,13,619,6,2,6,0,6,9
390490001104,736,9,1,5,1,2,4,744,5,0,4,0,1,5
390490001201,764,5,0,11,0,2,11,758,6,0,11,0,2,12
390490001202,1591,22,5,25,0,5,24,1584,28,2,20,1,3,30
390490001203,662,12,1,9,0,1,10,674,10,1,11,0,2,7
390490002101,744,13,0,11,0,6,19,741,10,3,17,0,2,25
390490002102,607,13,3,5,0,1,14,618,13,0,1,0,5,3
390490002103,574,3,0,7,0,3,19,581,8,1,3,0,0,18
390490002104,844,19,1,11,0,0,12,833,21,1,11,0,3,17
390490002201,637,1,0,10,0,9,21,627,4,1,15,0,7,16
390490002202,765,5,0,20,0,7,11,775,6,0,11,0,6,17
390490002203,1033,8,1,8,0,0,15,1004,12,1,16,0,8,17
390490002204,1111,18,1,14,0,5,27,1130,10,2,13,0,3,26
390490003101,767,270,1,43,1,24,45,774,277,0,25,1,24,44
390490003102,907,393,2,18,1,27,62,888,377,3,36,1,32,82
390490003103,462,72,1,10,0,12,30,473,85,0,9,0,5,11
390490003201,1017,148,2,20,0,10,44,1014,149,1,20,0,17,32
390490003202,907,148,2,9,1,47,39,909,150,5,9,0,39,45
390490003301,460,121,2,9,0,7,27,470,132,1,5,0,5,19
390490003302,611,276,4,16,1,29,46,619,255,1,20,0,26,40
390490003303,524,136,0,2,0,16,27,534,141,0,1,1,19,25
390490004101,1139,14,2,22,0,7,24,1153,37,3,22,0,10,12
390490004102,1102,27,3,32,0,7,39,1070,25,6,31,1,9,40
390490004201,629,8,1,8,0,2,13,630,11,0,10,0,7,16
390490004202,935,20,2,10,0,8,30,936,14,2,10,0,3,21
390490004203,622,32,4,23,1,1,24,641,27,1,15,0,2,10
390490004204,746,4,1,11,0,0,6,730,8,3,16,0,1,25
390490005001,849,29,2,20,0,2,30,847,22,1,16,0,3,27
390490005002,839,19,1,14,0,3,17,838,30,6,26,0,0,25
390490005003,970,30,1,69,0,14,32,972,23,1,55,0,14,22
390490005004,848,29,0,196,0,11,33,852,34,0,197,0,16,30
390490006001,565,17,0,12,0,5,10,575,16,1,12,0,4,16
390490006002,984,77,2,16,0,11,58,976,74,1,14,1,20,57
390490006003,678,18,10,9,0,12,34,665,19,12,21,0,5,26
390490006004,500,27,2,90,0,10,20,499,23,5,92,0,6,11
390490006005,534,36,3,13,0,4,24,540,39,1,11,0,6,32
390490007101,324,204,5,7,0,7,50,343,197,1,8,1,8,54
390490007102,341,237,1,7,1,8,23,340,243,3,3,0,4,27
390490007103,763,285,0,9,0,36,43,765,281,2,5,1,21,54
390490007104,554,161,2,1,0,5,25,539,159,2,3,0,23,15
390490007201,59,672,1,3,0,6,21,72,656,1,1,0,7,23
390490007202,97,615,2,1,0,3,22,76,607,2,1,0,0,15
390490007203,435,383,4,8,1,14,38,446,406,6,6,0,14,45
390490007301,49,688,0,3,0,11,16,35,701,2,8,0,6,23
390490007302,42,708,2,6,0,3,16,46,680,5,1,0,1,7
390490007303,31,490,6,0,0,8,4,39,505,2,0,0,4,14
390490007304,26,453,3,1,0,6,11,34,452,3,0,0,16,15
390490007305,38,446,0,0,0,1,22,25,450,0,1,0,1,14
390490008101,710,306,2,14,1,13,30,719,315,0,14,0,3,24
390490008102,408,182,4,3,1,6,23,419,170,2,3,0,6,19
390490008103,490,288,2,17,0,9,28,487,290,0,19,0,11,39
390490008201,442,752,5,0,0,14,52,440,769,2,1,1,14,44
390490008202,238,352,0,10,0,10,27,240,344,2,7,0,17,23
390490008203,400,141,4,15,0,9,20,387,146,5,12,1,1,18
390490008204,409,158,2,12,0,17,32,429,148,1,18,0,20,31
390490009101,177,458,1,1,0,11,19,163,468,1,1,0,11,18
390490009102,378,621,5,2,0,11,52,392,614,1,4,1,9,67
390490009103,110,693,0,6,0,0,51,106,691,1,3,1,5,42
390490009104,131,643,2,2,0,16,20,146,623,4,1,0,13,23
390490009201,195,513,4,0,0,29,26,188,514,6,1,0,24,33
390490009202,103,433,1,1,0,4,11,109,415,0,2,1,8,33
390490009203,135,548,1,7,2,8,52,134,563,1,3,0,5,29
390490010001,971,18,0,60,0,11,31,966,21,4,57,1,7,25
390490010002,1156,72,11,33,0,9,36,1153,75,8,35,0,17,46
390490010003,855,40,5,27,0,13,16,858,47,0,15,0,8,19
390490010004,721,9,0,41,0,8,2,703,8,1,43,0,9,17
390490010005,755,22,5,10,0,4,21,761,24,6,14,0,7,9
390490010006,782,21,1,30,1,3,29,783,14,3,37,1,3,25
390490011101,991,18,5,81,2,12,28,984,17,3,77,1,14,27
390490011102,921,10,0,182,0,8,14,912,15,3,191,0,3,19
390490011103,1079,72,5,206,0,19,37,1091,68,2,207,1,25,28
390490011211,1902,111,8,108,0,25,5,1900,110,5,113,0,27,6
390490011212,2280,107,1,225,0,32,4,2270,105,7,216,0,30,6
390490011213,2079,136,6,197,0,46,27,2093,142,6,200,0,47,17
390490011221,848,149,5,422,0,18,35,853,149,1,428,0,17,40
390490011222,1267,205,5,149,0,47,12,1269,204,7,143,0,43,5
390490012001,906,49,3,39,0,15,21,906,52,3,44,0,10,19
390490012002,950,66,0,36,0,17,19,953,72,1,34,1,15,19
390490012003,650,11,1,20,0,2,17,646,4,0,16,0,4,11
390490012004,1197,27,0,66,0,9,21,1193,26,0,68,1,10,26
390490012005,630,16,0,21,0,2,13,630,17,0,23,0,2,16
390490013001,871,266,3,60,0,22,49,886,271,5,67,0,15,66
390490013002,1486,74,3,89,0,18,30,1499,70,2,83,0,21,24
390490013003,2006,45,2,80,0,13,56,1992,44,1,79,2,16,27
390490013004,1301,20,4,69,0,5,12,1287,18,3,75,1,5,24
390490014001,90,714,0,0,0,2,41,87,707,2,0,0,2,26
390490014002,123,538,2,13,2,1,18,130,552,1,4,1,2,29
390490015001,29,572,4,5,18,0,22,24,599,3,1,0,4,14
390490015002,25,717,2,1,25,6,9,32,687,3,18,47,2,18
390490015003,42,532,0,3,0,3,13,43,524,0,2,0,0,10
390490016001,197,882,4,11,1,38,55,195,874,7,1,2,47,56
390490016002,279,124,4,4,0,57,29,282,137,0,6,0,45,30
