GEOID10,H72003_dp,H72004_dp,H72005_dp,H72006_dp,H72007_dp,H72008_dp,H72009_dp,H72003_sf,H72004_sf,H72005_sf,H72006_sf,H72007_sf,H72008_sf,H72009_sf
390490001101001,4,0,0,0,0,0,1,1,0,0,0,0,0,1
390490001101002,39,0,0,0,0,0,1,45,0,0,0,0,0,0
390490001101003,67,8,0,0,0,0,0,51,4,0,0,0,0,0
390490001101004,48,0,0,1,0,0,1,48,0,0,0,0,0,0
390490001101005,44,6,0,1,0,0,4,51,0,0,0,0,0,4
390490001101006,48,8,0,5,0,0,0,55,0,0,1,0,1,0
390490001101007,41,0,0,0,0,0,0,43,2,0,0,0,0,1
390490001101008,48,0,0,0,0,0,1,51,0,0,1,0,0,1
390490001101009,50,0,0,0,0,0,1,50,0,0,1,0,0,0
390490001101010,62,1,0,0,0,0,0,59,0,0,0,0,0,1
390490001101011,51,0,0,0,0,0,2,52,2,0,0,0,0,0
390490001101012,43,0,0,0,0,0,2,47,0,0,0,0,0,1
390490001101013,43,0,0,0,0,0,0,46,0,0,0,0,0,0
390490001101014,55,0,0,0,0,0,0,56,2,0,0,0,2,0
390490001101015,79,0,0,0,0,0,0,79,1,0,0,0,0,2
390490001101016,74,0,0,0,0,0,0,76,0,0,0,0,0,0
390490001101017,63,0,0,0,0,1,0,64,0,0,1,0,0,2
390490001101018,166,0,0,0,0,3,2,166,3,0,4,0,0,2
390490001102000,59,3,0,1,0,0,0,57,4,0,0,0,0,3
390490001102001,62,0,0,2,0,0,0,57,0,0,0,0,0,0
390490001102002,95,0,0,0,0,0,0,96,0,0,0,0,1,0
390490001102003,141,0,0,0,0,0,0,135,8,0,2,0,0,0
390490001102004,84,0,1,0,0,0,3,83,0,0,0,0,0,0
390490001102005,71,0,0,0,0,0,0,73,0,0,0,0,0,1
390490001102006,131,0,0,10,0,2,1,134,3,0,15,0,0,2
390490001102007,105,0,0,0,0,0,0,101,0,0,0,0,0,1
390490001102008,80,0,0,0,1,3,1,78,0,0,1,0,2,0
390490001103000,41,2,0,0,0,0,4,49,0,0,1,0,0,0
390490001103001,63,1,0,1,0,0,0,56,0,2,1,0,3,3
390490001103002,56,0,0,0,0,0,2,56,1,0,0,0,0,2
390490001103003,43,0,0,1,0,0,0,38,2,0,1,0,0,0
390490001103004,48,0,0,2,0,0,1,41,1,0,2,0,0,2
390490001103005,53,0,0,1,1,1,0,57,0,0,1,0,0,0
390490001103006,59,0,0,0,0,0,0,56,0,0,0,0,0,0
390490001103007,46,1,0,0,0,0,2,51,0,0,0,0,0,0
390490001103008,60,0,0,0,0,0,3,62,0,0,0,0,2,0
390490001103009,53,0,0,0,0,0,0,51,0,0,0,0,1,1
390490001103010,54,1,0,3,0,0,1,53,0,0,0,0,0,1
390490001103011,47,2,0,1,0,1,0,49,2,0,0,0,0,0
390490001104000,85,2,0,4,0,0,0,90,1,0,2,0,0,1
390490001104001,22,0,0,0,0,1,1,13,0,0,1,0,0,0
390490001104002,58,0,0,1,0,0,0,48,0,0,0,0,0,1
390490001104003,19,0,0,0,0,0,0,22,0,0,0,0,0,1
390490001104004,18,1,0,0,1,0,0,12,0,0,0,0,0,0
390490001104005,37,0,0,0,0,0,2,39,0,0,0,0,0,0
390490001104006,71,2,0,0,0,0,0,72,0,0,0,0,0,0
390490001104007,27,0,0,0,0,0,0,29,0,0,0,0,0,0
390490001104008,22,1,0,0,0,0,1,25,0,0,0,0,0,0
390490001104009,45,0,1,0,0,0,0,47,0,0,1,0,0,0
390490001104011,38,0,0,0,0,0,0,43,0,0,0,0,0,0
390490001104012,52,0,0,0,0,0,0,55,0,0,0,0,0,0
390490001104013,45,0,0,0,0,0,0,49,0,0,0,0,0,0
390490001104014,36,0,0,0,0,1,0,36,0,0,0,0,0,0
390490001104015,56,1,0,0,0,0,0,57,2,0,0,0,0,1
390490001104016,56,2,0,0,0,0,0,60,0,0,0,0,1,0
390490001104017,49,0,0,0,0,0,0,47,2,0,0,0,0,1
390490001201000,87,0,0,0,0,0,2,89,0,0,1,0,0,2
390490001201002,87,0,0,0,0,0,0,82,0,0,0,0,2,1
390490001201003,25,0,0,0,0,0,0,27,0,0,0,0,0,0
390490001201004,78,0,0,2,0,0,1,82,0,0,0,0,0,0
390490001201005,57,3,0,1,0,0,0,48,4,0,0,0,0,3
390490001201007,77,1,0,2,0,0,0,80,1,0,1,0,0,1
390490001201008,49,0,0,0,0,0,1,49,0,0,0,0,0,0
390490001201009,88,0,0,0,0,1,1,80,0,0,2,0,0,0
390490001201010,17,0,0,1,0,0,0,23,0,0,2,0,0,0
390490001201011,88,1,0,3,0,1,1,91,1,0,3,0,0,0
390490001201012,111,0,0,2,0,0,5,107,0,0,2,0,0,5
390490001202002,104,0,0,0,0,0,0,101,0,0,1,0,1,0
390490001202003,54,0,1,2,0,0,0,49,0,0,0,0,0,0
390490001202004,73,0,0,0,0,0,0,81,0,0,2,0,0,0
390490001202005,181,4,2,0,0,0,2,179,4,0,2,0,0,6
390490001202006,206,0,0,0,0,0,1,209,0,0,3,0,0,5
390490001202007,29,0,0,1,0,0,0,31,0,0,0,0,0,0
390490001202008,2,0,0,1,0,1,3,1,0,0,0,1,0,0
390490001202009,40,0,0,0,0,0,0,45,0,0,0,0,0,0
390490001202010,63,2,0,1,0,0,3,60,0,0,0,0,0,0
390490001202011,79,3,1,0,0,0,0,81,2,0,2,0,0,3
390490001202012,35,0,0,0,0,0,1,33,0,0,0,0,0,0
390490001202013,115,0,1,4,0,0,2,105,2,2,4,0,0,5
390490001202014,77,1,0,0,0,0,0,76,3,0,0,0,0,1
390490001202015,36,2,0,5,0,2,3,42,3,0,2,0,0,5
390490001202016,61,0,0,0,0,1,4,54,3,0,0,0,0,0
390490001202017,54,3,0,1,0,0,0,57,0,0,0,0,0,0
390490001202018,52,1,0,0,0,0,2,48,0,0,0,0,0,0
390490001202019,50,5,0,0,0,0,0,48,1,0,0,0,1,0
390490001202020,43,0,0,0,0,0,0,44,2,0,0,0,0,2
390490001202021,44,0,0,7,0,0,0,48,0,0,0,0,0,0
390490001202023,70,0,0,3,0,0,0,67,2,0,3,0,0,2
390490001202024,63,1,0,0,0,1,1,72,2,0,1,0,1,1
390490001202025,60,0,0,0,0,0,2,53,4,0,0,0,0,0
390490001203000,74,0,0,0,0,1,0,85,3,0,0,0,0,1
390490001203001,8,2,0,2,0,0,0,12,0,0,2,0,0,0
390490001203002,78,4,0,0,0,0,0,76,1,0,0,0,2,1
390490001203003,34,0,1,0,0,0,2,33,0,0,0,0,0,1
390490001203004,60,3,0,1,0,0,0,59,1,1,2,0,0,0
390490001203005,33,0,0,0,0,0,2,32,0,0,0,0,0,0
390490001203006,57,0,0,3,0,0,2,57,1,0,1,0,0,0
390490001203007,149,1,0,0,0,0,1,146,4,0,5,0,0,3
390490001203008,38,0,0,1,0,0,2,50,0,0,1,0,0,0
390490001203009,18,0,0,1,0,0,0,22,0,0,0,0,0,0
390490001203010,39,0,0,1,0,0,0,33,0,0,0,0,0,1
390490001203011,40,1,0,0,0,0,0,24,0,0,0,0,0,0
390490001203012,34,1,0,0,0,0,1,45,0,0,0,0,0,0
390490002101001,92,2,0,0,0,0,0,92,2,0,1,0,0,5
390490002101004,158,0,0,4,0,1,0,142,1,0,7,0,2,6
390490002101005,50,0,0,0,0,1,0,51,0,0,0,0,0,0
390490002101006,54,4,0,2,0,0,5,46,2,0,4,0,0,0
390490002101008,5,0,0,0,0,0,0,0,1,0,0,0,0,6
390490002101010,83,3,0,0,0,1,4,86,0,2,0,0,0,2
