GEOID10,H72003_dp,H72004_dp,H72005_dp,H72006_dp,H72007_dp,H72008_dp,H72009_dp,H72003_sf,H72004_sf,H72005_sf,H72006_sf,H72007_sf,H72008_sf,H72009_sf
39049000110,3212,42,2,34,3,13,37,3217,40,2,36,0,13,36
39049000120,3017,39,6,45,0,8,45,3016,44,3,42,1,7,49
39049000210,2769,48,4,34,0,10,64,2773,52,5,32,0,10,63
39049000220,3546,32,2,52,0,21,74,3536,32,4,55,0,24,76
39049000310,2136,735,4,71,2,63,137,2135,739,3,70,2,61,137
39049000320,1924,296,4,29,1,57,83,1923,299,6,29,0,56,77
39049000330,1595,533,6,27,1,52,100,1623,528,2,26,1,50,84
39049000410,2241,41,5,54,0,14,63,2223,62,9,53,1,19,52
39049000420,2932,64,8,52,1,11,73,2937,60,6,51,0,13,72
39049000500,3506,107,4,299,0,30,112,3509,109,8,294,0,33,104
39049000600,3261,175,17,140,0,42,146,3255,171,20,150,1,41,142
39049000710,1982,887,8,24,1,56,141,1987,880,8,19,2,56,150
39049000720,591,1670,7,12,1,23,81,594,1669,9,8,0,21,83
39049000730,186,2785,11,10,0,29,69,179,2788,12,10,0,28,73
39049000810,1608,776,8,34,2,28,81,1625,775,2,36,0,20,82
39049000820,1489,1403,11,37,0,50,131,1496,1407,10,38,2,52,116
39049000910,796,2415,8,11,0,38,142,807,2396,7,9,2,38,150
39049000920,433,1494,6,8,2,41,89,431,1492,7,6,1,37,95
39049001000,5240,182,22,201,1,48,135,5224,189,22,201,2,51,141
39049001110,2991,100,10,469,2,39,79,2987,100,8,475,2,42,74
39049001121,6261,354,15,530,0,103,36,6263,357,18,529,0,104,29
39049001122,2115,354,10,571,0,65,47,2122,353,8,571,0,60,45
39049001200,4333,169,4,182,0,45,91,4328,171,4,185,2,41,91
39049001300,5664,405,12,298,0,58,147,5664,403,11,304,3,57,141
39049001400,213,1252,2,13,2,3,59,217,1259,3,4,1,4,55
39049001500,96,1821,6,9,43,9,44,99,1810,6,21,47,6,42
39049001600,476,1006,8,15,1,95,84,477,1011,7,7,2,92,86
39049001700,1661,581,0,113,1,252,94,1668,579,2,110,0,249,96
