GEOID10,race,sex,age,age_v
391119666001002,1,1,1,1
391119666001002,1,1,3,11
391119666001002,1,2,3,11
391119666001002,1,1,10,33
391119666001002,1,2,10,33
391119666001004,1,1,1,2
391119666001004,1,1,1,1
391119666001004,1,1,1,0
391119666001004,1,1,1,1
391119666001004,1,1,1,2
391119666001004,1,1,1,3
391119666001004,1,1,1,3
391119666001004,1,2,1,3
391119666001004,1,1,2,5
391119666001004,1,1,2,8
391119666001004,1,2,2,7
391119666001004,1,2,2,6
391119666001004,1,1,3,12
391119666001004,1,1,3,11
391119666001004,1,1,3,11
391119666001004,1,1,3,12
391119666001004,1,1,3,13
391119666001004,1,2,3,10
391119666001004,1,1,4,16
391119666001004,1,1,4,15
391119666001004,1,1,4,15
391119666001004,1,1,4,16
391119666001004,1,2,4,16
391119666001004,1,2,4,16
391119666001004,1,2,5,18
391119666001004,1,1,7,21
391119666001004,1,2,8,22
391119666001004,1,2,8,22
391119666001004,1,1,9,26
391119666001004,1,1,9,28
391119666001004,1,2,9,27
391119666001004,1,2,9,27
391119666001004,1,1,10,33
391119666001004,1,1,10,32
391119666001004,1,1,10,32
391119666001004,1,1,10,33
391119666001004,1,2,10,31
391119666001004,1,2,10,31
391119666001004,1,2,10,33
391119666001004,1,1,11,38
391119666001004,1,1,11,35
391119666001004,1,1,11,38
391119666001004,1,1,11,37
391119666001004,1,1,11,38
391119666001004,1,2,11,36
391119666001004,1,2,11,36
391119666001004,1,2,11,37
391119666001004,1,2,11,38
391119666001004,1,1,12,40
391119666001004,1,2,12,43
391119666001004,1,2,12,40
391119666001004,1,2,12,42
391119666001004,1,1,13,48
391119666001004,1,1,13,45
391119666001004,1,1,13,48
391119666001004,1,1,13,45
391119666001004,1,1,13,46
391119666001004,1,2,13,45
391119666001004,1,2,13,45
391119666001004,1,2,13,46
391119666001004,1,2,13,48
391119666001004,1,2,13,46
391119666001004,1,1,14,53
391119666001004,1,1,14,50
391119666001004,1,1,14,51
391119666001004,1,1,14,52
391119666001004,1,2,14,50
391119666001004,1,2,14,50
391119666001004,1,2,14,50
391119666001004,1,2,14,50
391119666001004,1,1,15,55
391119666001004,1,1,15,56
391119666001004,1,1,15,56
391119666001004,1,1,15,56
391119666001004,1,2,15,58
391119666001004,1,2,15,56
391119666001004,1,2,15,56
391119666001004,1,2,15,56
391119666001004,1,2,15,58
391119666001004,1,2,15,58
391119666001004,1,2,15,57
391119666001004,1,2,15,57
391119666001004,1,1,16,60
391119666001004,1,1,16,60
391119666001004,1,2,16,60
391119666001004,1,2,16,60
391119666001004,1,1,17,62
391119666001004,1,1,17,63
391119666001004,1,2,17,62
391119666001004,1,1,19,67
391119666001004,1,2,19,68
391119666001004,1,1,20,71
391119666001004,1,1,20,70
391119666001004,1,1,20,70
391119666001004,1,1,20,72
391119666001004,1,2,21,77
391119666001004,1,1,22,80
391119666001004,1,1,22,82
391119666001004,1,2,22,82
391119666001004,1,2,23,99
391119666001007,1,2,3,12
391119666001007,1,2,10,31
391119666001007,1,1,11,35
391119666001007,1,1,12,42
391119666001007,1,2,12,40
391119666001007,1,2,13,46
391119666001007,1,1,14,53
391119666001007,1,1,14,50
391119666001007,1,1,17,62
391119666001007,1,2,19,67
391119666001007,1,1,20,72
391119666001012,1,1,4,16
391119666001012,1,1,8,22
391119666001012,1,2,8,22
391119666001012,1,1,9,27
391119666001012,1,1,12,41
391119666001012,1,1,13,47
391119666001012,1,2,13,47
391119666001012,1,2,13,46
391119666001012,1,2,13,48
391119666001012,1,2,13,47
391119666001012,1,1,14,51
391119666001012,1,1,14,53
391119666001012,1,2,14,50
391119666001012,1,1,15,55
391119666001012,1,2,15,58
391119666001012,1,1,16,60
391119666001012,1,1,17,62
391119666001012,1,2,17,62
391119666001012,1,1,19,67
391119666001012,1,2,19,68
391119666001012,1,1,20,71
391119666001012,1,2,23,99
391119666001014,1,1,1,0
391119666001014,1,2,1,3
391119666001014,1,1,2,5
391119666001014,1,2,2,6
391119666001014,1,1,3,11
391119666001014,1,2,3,12
391119666001014,1,1,5,18
391119666001014,1,2,7,21
391119666001014,1,1,9,26
391119666001014,1,1,9,27
391119666001014,1,2,9,25
391119666001014,1,2,10,32
391119666001014,1,2,10,33
391119666001014,1,2,12,42
391119666001014,1,1,13,47
391119666001014,1,1,14,52
391119666001014,1,2,14,52
391119666001014,1,1,15,57
391119666001014,1,2,15,57
391119666001014,1,1,17,63
391119666001014,1,2,17,62
391119666001014,1,2,18,65
391119666001014,1,1,19,68
391119666001014,1,2,19,67
391119666001014,1,1,20,71
391119666001014,1,1,20,72
391119666001014,1,1,21,75
391119666001014,1,2,21,78
391119666001014,1,1,22,81
391119666001014,1,2,22,82
391119666001014,1,2,22,80
391119666001017,1,1,9,28
391119666001017,1,2,9,27
391119666001017,1,1,10,33
391119666001017,1,1,11,35
391119666001017,1,2,13,47
391119666001017,1,1,15,55
391119666001017,1,1,15,58
391119666001017,1,2,16,60
391119666001017,1,2,21,75
391119666001017,1,2,22,82
391119666001018,1,1,1,1
391119666001018,1,1,1,3
391119666001018,1,2,1,3
391119666001018,1,2,1,0
