"FILEID","STUSAB","SUMLEV","LOGRECNO","REGION","DIVISION","STATE","COUNTY","TRACT","BLOCK","P012A001","P012A002","P012A003","P012A004","P012A005","P012A006","P012A007","P012A008","P012A009","P012A010","P012A011","P012A012","P012A013","P012A014","P012A015","P012A016","P012A017","P012A018","P012A019","P012A020","P012A021","P012A022","P012A023","P012A024","P012A025","P012A026","P012A027","P012A028","P012A029","P012A030","P012A031","P012A032","P012A033","P012A034","P012A035","P012A036","P012A037","P012A038","P012A039","P012A040","P012A041","P012A042","P012A043","P012A044","P012A045","P012A046","P012A047","P012A048","P012A049"
"SF1ST","OH","101",260714,"2","3","39","111","966600","2047",3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",260715,"2","3","39","111","966600","2055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",260716,"2","3","39","111","966600","2056",5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",260717,"2","3","39","111","966600","2057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",260718,"2","3","39","111","966600","2058",8,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"SF1ST","OH","101",260719,"2","3","39","111","966600","2071",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",260720,"2","3","39","111","966600","2078",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",260721,"2","3","39","111","966600","2079",31,16,1,0,0,1,0,0,0,0,1,2,0,0,2,2,4,1,1,0,0,0,1,0,0,15,0,1,1,2,0,1,0,1,0,1,0,2,1,1,2,1,0,0,0,1,0,0,0
"SF1ST","OH","101",260722,"2","3","39","111","966600","2080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",260723,"2","3","39","111","966600","2095",3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"SF1ST","OH","101",260725,"2","3","39","111","966600","3000",67,34,1,1,5,0,1,1,0,0,0,1,5,6,1,1,1,1,0,2,1,1,3,1,1,33,1,4,1,2,0,1,0,0,0,1,2,3,3,2,1,2,1,1,4,2,1,1,0
"SF1ST","OH","101",260726,"2","3","39","111","966600","3001",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SF1ST","OH","101",260727,"2","3","39","111","966600","3002",35,14,0,0,0,2,0,0,0,0,1,0,0,3,2,2,3,1,0,0,0,0,0,0,0,21,2,1,2,1,0,0,1,1,1,0,1,3,0,2,3,0,0,0,1,0,1,1,0
"SF1ST","OH","101",260728,"2","3","39","111","966600","3003",3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
