White,Black,AIAN,Asian,NHPI,Other race alone,Two or more races,total_pop,total_true
1,0,0,0,0,0,1,2,1
45,0,0,0,0,0,0,45,0
51,4,0,0,0,0,0,55,0
48,0,0,0,0,0,0,48,0
51,0,0,0,0,0,4,55,0
55,0,0,1,0,1,0,57,0
43,2,0,0,0,0,1,46,0
51,0,0,1,0,0,1,53,1
50,0,0,1,0,0,0,51,0
59,0,0,0,0,0,1,60,0
52,2,0,0,0,0,0,54,0
47,0,0,0,0,0,1,48,0
46,0,0,0,0,0,0,46,0
56,2,0,0,0,2,0,60,0
79,1,0,0,0,0,2,82,0
76,0,0,0,0,0,0,76,0
64,0,0,1,0,0,2,67,0
166,3,0,4,0,0,2,175,0
57,4,0,0,0,0,3,64,0
57,0,0,0,0,0,0,57,0
96,0,0,0,0,1,0,97,0
135,8,0,2,0,0,0,145,0
83,0,0,0,0,0,0,83,0
73,0,0,0,0,0,1,74,0
134,3,0,15,0,0,2,154,0
101,0,0,0,0,0,1,102,0
78,0,0,1,0,2,0,81,0
49,0,0,1,0,0,0,50,0
56,0,2,1,0,3,3,65,1
56,1,0,0,0,0,2,59,0
38,2,0,1,0,0,0,41,1
41,1,0,2,0,0,2,46,0
57,0,0,1,0,0,0,58,1
56,0,0,0,0,0,0,56,0
51,0,0,0,0,0,0,51,0
62,0,0,0,0,2,0,64,0
51,0,0,0,0,1,1,53,0
53,0,0,0,0,0,1,54,1
49,2,0,0,0,0,0,51,0
90,1,0,2,0,0,1,94,0
13,0,0,1,0,0,0,14,0
48,0,0,0,0,0,1,49,0
22,0,0,0,0,0,1,23,0
12,0,0,0,0,0,0,12,0
39,0,0,0,0,0,0,39,0
72,0,0,0,0,0,0,72,0
29,0,0,0,0,0,0,29,0
25,0,0,0,0,0,0,25,0
47,0,0,1,0,0,0,48,0
43,0,0,0,0,0,0,43,0
55,0,0,0,0,0,0,55,0
49,0,0,0,0,0,0,49,0
36,0,0,0,0,0,0,36,0
57,2,0,0,0,0,1,60,0
60,0,0,0,0,1,0,61,0
47,2,0,0,0,0,1,50,0
89,0,0,1,0,0,2,92,0
82,0,0,0,0,2,1,85,0
27,0,0,0,0,0,0,27,0
82,0,0,0,0,0,0,82,0
48,4,0,0,0,0,3,55,0
80,1,0,1,0,0,1,83,1
49,0,0,0,0,0,0,49,0
80,0,0,2,0,0,0,82,0
23,0,0,2,0,0,0,25,0
91,1,0,3,0,0,0,95,1
107,0,0,2,0,0,5,114,0
101,0,0,1,0,1,0,103,0
49,0,0,0,0,0,0,49,0
81,0,0,2,0,0,0,83,0
179,4,0,2,0,0,6,191,0
209,0,0,3,0,0,5,217,0
31,0,0,0,0,0,0,31,0
1,0,0,0,1,0,0,2,0
45,0,0,0,0,0,0,45,0
60,0,0,0,0,0,0,60,0
81,2,0,2,0,0,3,88,0
33,0,0,0,0,0,0,33,0
105,2,2,4,0,0,5,118,0
76,3,0,0,0,0,1,80,0
42,3,0,2,0,0,5,52,0
54,3,0,0,0,0,0,57,0
57,0,0,0,0,0,0,57,0
48,0,0,0,0,0,0,48,0
48,1,0,0,0,1,0,50,0
44,2,0,0,0,0,2,48,0
48,0,0,0,0,0,0,48,0
67,2,0,3,0,0,2,74,0
72,2,0,1,0,1,1,77,2
53,4,0,0,0,0,0,57,0
85,3,0,0,0,0,1,89,0
12,0,0,2,0,0,0,14,0
76,1,0,0,0,2,1,80,0
33,0,0,0,0,0,1,34,0
59,1,1,2,0,0,0,63,0
32,0,0,0,0,0,0,32,0
57,1,0,1,0,0,0,59,0
146,4,0,5,0,0,3,158,0
50,0,0,1,0,0,0,51,1
22,0,0,0,0,0,0,22,0
33,0,0,0,0,0,1,34,0
24,0,0,0,0,0,0,24,0
45,0,0,0,0,0,0,45,0
92,2,0,1,0,0,5,100,0
142,1,0,7,0,2,6,158,0
51,0,0,0,0,0,0,51,0
46,2,0,4,0,0,0,52,0
0,1,0,0,0,0,6,7,0
86,0,2,0,0,0,2,90,0
27,0,0,0,0,0,2,29,0
3,0,0,0,0,0,0,3,0
24,3,0,0,0,0,2,29,0
51,0,0,0,0,0,0,51,0
70,0,1,3,0,0,1,75,0
63,1,0,0,0,0,0,64,0
86,0,0,2,0,0,1,89,0
210,2,0,0,0,3,1,216,1
104,0,0,0,0,0,0,104,0
96,1,0,1,0,2,0,100,0
77,3,0,0,0,0,0,80,0
35,0,0,0,0,0,0,35,0
96,7,0,0,0,0,2,105,0
94,2,0,0,0,0,1,97,0
36,0,0,0,0,0,1,37,0
71,0,0,0,0,0,0,71,0
90,2,0,2,0,0,6,100,0
42,0,0,0,0,0,0,42,0
56,0,1,0,0,0,0,57,0
43,0,0,0,0,0,2,45,0
71,0,0,0,0,0,0,71,0
78,4,0,1,0,0,8,91,0
193,15,1,7,0,1,9,226,1
108,1,0,1,0,0,0,110,1
113,2,0,0,0,0,0,115,0
107,0,0,0,0,0,0,107,0
76,1,0,1,0,1,8,87,1
79,0,0,2,0,1,0,82,0
69,1,0,0,0,0,0,70,0
88,1,0,0,0,0,0,89,1
89,0,0,3,0,2,6,100,0
77,1,0,1,0,2,6,87,0
92,0,0,3,0,1,0,96,0
75,0,1,0,0,0,0,76,0
98,0,0,3,0,0,1,102,1
100,1,0,5,0,2,0,108,0
96,2,0,0,0,0,3,101,0
68,0,0,0,0,0,0,68,0
112,1,0,1,0,2,2,118,1
70,0,0,1,0,0,0,71,0
117,0,0,0,0,0,3,120,0
80,3,0,0,0,0,6,89,0
66,0,0,1,0,0,2,69,0
63,2,0,1,0,2,4,72,0
85,0,0,7,0,2,0,94,0
114,0,0,0,0,0,0,114,0
88,1,0,0,0,0,0,89,0
91,0,0,3,0,0,4,98,0
70,0,0,6,0,0,0,76,0
56,0,0,2,0,0,0,58,0
96,2,1,0,0,3,0,102,0
109,0,0,2,0,0,0,111,0
107,0,0,0,0,0,0,107,0
100,1,0,1,0,0,2,104,0
48,0,0,0,0,0,0,48,0
135,6,0,1,0,5,7,154,0
